Time	User	Comment
1/29/2019 3:07 PM	David Ruth	All the junk cleared out from the test logbook, barring the few extra features discussed during the meeting today, this virtual logbook should be open for actual logbook posts as of now.
1/30/2019 2:15 PM	David Ruth	Ionivac is still on the shells, as they slowly leak from what was once turbo vacuum
2/5/2019 6:09 PM	Elena Long	"Bad news: The VNA, even when not sweeping, introduces noise on the VME at it's \""park frequency\"" (aka whatever frequency is the beginning of the VNA sweep)"
2/5/2019 6:12 PM	Elena Long	"Other good news: The VNA, once installed, doesn't stop the DAQ from sending sound to the speakers. This might be an issue if we ever need to completely reset the VNA, but the problem is solved by just turning the Windows sound option back to \""Speakers\"", which both lets you hear sound and lets the VNA work"
2/5/2019 6:13 PM	Elena Long	Other bad news: Can't get A GPS signal in 103 to try to use the VNA's external oscillator to try and fix the problem
2/12/2019 1:19 PM	David Ruth	"testing connection issue"""
2/12/2019 1:28 PM	David	testing
2/12/2019 1:37 PM	David 	testing
2/12/2019 1:37 PM	David 	testing
2/12/2019 1:37 PM	David 	testing
2/12/2019 1:37 PM	David 	testing
2/12/2019 1:37 PM	David Ruth	testing
2/12/2019 1:41 PM	David Ruth	second test
2/12/2019 1:42 PM	David Ruth	third test
3/6/2019 10:55 AM	Lab	<COOLDOWN START>
3/6/2019 10:57 AM	Lab	<COOLDOWN START>
3/6/2019 11:13 AM	Lab	<COOLDOWN START>
3/6/2019 1:09 PM	Lab	<COOLDOWN COMPLETE>
3/6/2019 1:09 PM	Lab	<COOLDOWN START>
3/6/2019 1:28 PM	Lab	Cooldown summary test
3/6/2019 1:28 PM	Lab	<COOLDOWN COMPLETE>
3/6/2019 1:29 PM	Lab	<COOLDOWN START>
3/6/2019 2:37 PM	Lab	<COOLDOWN COMPLETE>
3/6/2019 2:44 PM	Lab	<COOLDOWN START>
3/6/2019 2:45 PM	Lab	<COOLDOWN COMPLETE>
3/6/2019 2:45 PM	Lab	<COOLDOWN START>
3/6/2019 2:46 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 11:11 AM	Lab	<COOLDOWN START>
3/7/2019 11:58 AM	Lab	<COOLDOWN COMPLETE>
3/7/2019 11:58 AM	Lab	<COOLDOWN START>
3/7/2019 11:58 AM	Lab	<COOLDOWN COMPLETE>
3/7/2019 11:58 AM	Lab	<COOLDOWN START>
3/7/2019 11:58 AM	Lab	<COOLDOWN COMPLETE>
3/7/2019 11:58 AM	Lab	<COOLDOWN START>
3/7/2019 12:18 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 12:18 PM	Lab	<COOLDOWN START>
3/7/2019 12:18 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 12:24 PM	Lab	<COOLDOWN START>
3/7/2019 12:24 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 12:24 PM	Lab	<COOLDOWN START>
3/7/2019 12:24 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 12:28 PM	Lab	<COOLDOWN START>
3/7/2019 12:29 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 12:30 PM	Lab	<COOLDOWN START>
3/7/2019 12:30 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 12:51 PM	Lab	<COOLDOWN START>
3/7/2019 12:51 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 12:52 PM	Lab	<COOLDOWN START>
3/7/2019 12:52 PM	Lab	<COOLDOWN START>
3/7/2019 12:52 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 12:55 PM	Lab	<COOLDOWN START>
3/7/2019 12:55 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 12:55 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 1:24 PM	Lab	<COOLDOWN START>
3/7/2019 1:25 PM	Lab	<FILL START>
3/7/2019 1:26 PM	Lab	<FILL COMPLETE>
3/7/2019 2:13 PM	Lab	<FILL START>
3/7/2019 2:13 PM	Lab	<FILL COMPLETE>
3/7/2019 2:13 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 2:38 PM	Lab	<COOLDOWN START>
3/7/2019 2:39 PM	Lab	<FILL START>
3/7/2019 2:39 PM	Lab	<FILL COMPLETE> 0.00 Liters added.
3/7/2019 2:40 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 3:21 PM	Lab	<FILL START>
3/7/2019 3:21 PM	Lab	<FILL COMPLETE> 0.00 Liters added.
3/7/2019 3:21 PM	Lab	<COOLDOWN START>
3/7/2019 3:21 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 4:43 PM	Lab	<COOLDOWN START>
3/7/2019 4:45 PM	Lab	<COOLDOWN COMPLETE>
3/7/2019 4:45 PM	Lab	<COOLDOWN START>
